Manuf,Vendor Part No,Description,List Price
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREMUSG-3YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and US Government Premium Support, 3 year",2800.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREMUSG-3YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 3 year, Renewal",1000.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREMUSG-5YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and US Government Premium Support, 5 year",3500.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREMUSG-5YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 5 year, Renewal",1600.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREM-1YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and Premium
Support",2500.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREM-1YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 1
year, Renewal",700.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREM-3YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and Premium
Support, 3 year",3500.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREM-3YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 3
year, Renewal",1700.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREM-5YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and Premium
Support, 5 year",4700.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREM-5YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 5
year, Renewal",2800.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREMUSG-1YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and US
Government Premium Support",2600.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREMUSG-1YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 1 year, Renewal",800.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREMUSG-3YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and US
Government Premium Support, 3 year",3700.0000
,,,
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREMUSG-3YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 3 year, Renewal",1900.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREMUSG-5YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and US
Government Premium Support, 5 year",4900.0000
Palo Alto Networks,PAN-VM-100-PERP-BND1-PREMUSG-5YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 5 year, Renewal",3200.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREM-1YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support",3100.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREM-1YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 1 year, Renewal",1300.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREM-3YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 3 year",4800.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREM-3YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 3 year, Renewal",3100.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREM-5YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 5 year",6800.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREM-5YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 5 year, Renewal",5200.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREMUSG-1YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support",3100.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREMUSG-1YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 1 year, Renewal",1300.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREMUSG-3YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 3 year",5000.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREMUSG-3YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 3 year, Renewal",3100.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREMUSG-5YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 5 year",7100.0000
Palo Alto Networks,PAN-VM-100-PERP-BND2-PREMUSG-5YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 5 year, Renewal",5200.0000
